id,ads_id,device_type,device_id,timestamp
7905,lebaran_campaign,Android,95.5.193.110,1972-09-20T12:17:08.000000
5685,lebaran_campaign,Desktop,221.137.183.18,2019-11-20T18:32:12.000000
4238,lebaran_campaign,Android,41.188.150.27,2014-01-05T11:19:13.000000
6578,lebaran_campaign,Android,180.219.82.219,1984-01-02T04:34:59.000000
2176,imlek_campaign,Desktop,6.115.9.174,1986-11-26T15:47:57.000000
3204,imlek_campaign,Desktop,221.6.159.162,2002-04-02T20:57:29.000000
3467,natal_campaign,IOS,110.245.124.245,2000-12-07T02:53:11.000000
2532,imlek_campaign,IOS,45.229.9.177,1986-05-05T22:52:01.000000
6920,imlek_campaign,Desktop,25.201.151.39,1975-08-04T10:05:45.000000
3207,natal_campaign,Android,174.98.161.234,1984-07-03T15:45:37.000000
2568,natal_campaign,Android,173.219.87.11,2007-03-14T12:28:22.000000
9855,imlek_campaign,IOS,88.211.126.93,1990-07-24T18:06:58.000000
8398,natal_campaign,Desktop,20.111.149.11,1970-10-24T16:01:38.000000
8406,imlek_campaign,Android,32.198.48.232,1992-12-07T19:56:27.000000
4792,imlek_campaign,Desktop,114.197.170.190,2003-06-16T23:03:04.000000
7285,imlek_campaign,IOS,181.143.171.71,2007-08-26T06:31:20.000000
1365,lebaran_campaign,IOS,148.66.171.2,2006-03-12T02:22:01.000000
5905,natal_campaign,Desktop,59.154.67.184,2005-05-03T04:56:40.000000
3065,imlek_campaign,Android,200.246.69.213,2015-03-04T19:57:05.000000
3926,lebaran_campaign,Android,2.65.221.146,1975-02-01T12:12:05.000000
713,imlek_campaign,Desktop,105.76.192.123,1974-12-15T16:32:39.000000
5030,lebaran_campaign,Desktop,66.162.184.52,2011-09-06T23:33:12.000000
5288,lebaran_campaign,Desktop,119.60.241.27,2009-09-06T05:14:35.000000
4576,lebaran_campaign,Desktop,113.77.73.58,2006-10-23T06:14:32.000000
7232,lebaran_campaign,IOS,105.158.234.67,2008-01-25T23:21:28.000000
1548,lebaran_campaign,IOS,92.150.152.241,2016-10-23T10:18:55.000000
2943,natal_campaign,Android,30.215.201.86,1988-09-29T12:41:02.000000
4944,lebaran_campaign,Desktop,218.57.191.191,1990-10-06T00:53:55.000000
3610,natal_campaign,IOS,104.88.212.254,1983-03-15T21:25:19.000000
2773,imlek_campaign,IOS,58.112.197.22,1974-08-24T11:40:01.000000
7369,lebaran_campaign,Android,184.105.205.222,1981-10-20T13:27:47.000000
3595,imlek_campaign,Desktop,25.178.29.55,1994-09-20T18:00:22.000000
9666,natal_campaign,Desktop,86.96.80.199,1972-12-25T21:51:35.000000
6118,lebaran_campaign,Android,21.127.184.25,1977-04-29T11:11:12.000000
8447,imlek_campaign,Desktop,176.121.83.134,1974-11-04T04:40:34.000000
6667,imlek_campaign,Desktop,179.101.251.88,1987-02-04T12:39:16.000000
3644,lebaran_campaign,IOS,152.60.143.32,2012-02-08T09:26:30.000000
4847,lebaran_campaign,Android,86.11.181.218,1975-10-10T00:34:59.000000
7477,lebaran_campaign,Android,16.238.164.50,1982-08-14T01:45:11.000000
8862,natal_campaign,Android,153.148.13.238,1971-04-06T05:02:30.000000
952,natal_campaign,Desktop,190.180.79.140,1975-08-15T02:14:51.000000
9784,lebaran_campaign,Desktop,24.159.73.99,2009-12-23T12:28:48.000000
1789,natal_campaign,Desktop,98.65.254.109,2012-02-10T15:40:20.000000
1312,natal_campaign,Desktop,134.115.178.160,2023-10-11T05:30:03.000000
903,natal_campaign,Desktop,108.46.86.158,1973-09-04T02:14:21.000000
8585,lebaran_campaign,Android,78.239.4.72,1993-08-02T02:35:07.000000
7063,lebaran_campaign,Desktop,146.88.66.185,1996-04-20T12:19:23.000000
4001,natal_campaign,Desktop,13.248.170.129,2005-06-07T04:33:48.000000
3722,natal_campaign,IOS,75.32.90.111,2020-08-16T09:45:15.000000
9795,imlek_campaign,Desktop,17.30.156.87,2019-03-24T16:44:10.000000
8571,natal_campaign,Android,123.88.122.62,2022-03-30T00:44:32.000000
6292,lebaran_campaign,Desktop,219.20.76.193,2007-11-08T11:25:13.000000
619,natal_campaign,Desktop,179.32.245.14,1997-07-28T23:00:31.000000
3233,lebaran_campaign,Desktop,183.106.114.50,1971-07-08T06:59:14.000000
5659,lebaran_campaign,IOS,11.166.114.25,2009-03-20T20:27:55.000000
1663,lebaran_campaign,IOS,25.21.24.87,1990-10-18T00:11:30.000000
4836,natal_campaign,Desktop,182.6.11.189,1975-05-25T08:15:19.000000
1032,imlek_campaign,IOS,30.216.250.182,1977-07-28T06:46:32.000000
8771,lebaran_campaign,Desktop,36.9.168.102,1978-04-13T12:03:07.000000
5925,imlek_campaign,Desktop,144.48.194.213,2002-12-05T10:43:33.000000
1773,imlek_campaign,IOS,103.150.234.234,1989-12-16T17:01:48.000000
91,imlek_campaign,Android,1.225.238.246,2000-05-19T23:39:03.000000
363,lebaran_campaign,IOS,57.64.200.142,2003-10-17T23:10:01.000000
6102,imlek_campaign,Desktop,155.33.59.143,2018-07-05T11:49:14.000000
